# mode=adp T=8.0 Ts=0.01 dt=0.002 K=800 plant_ticks=3994 wall_ms=8001 plant_late_max_us=2101
# freq_hz=200000000 ctrl_cpu=0 plant_cpu=1 micropython=1.24.0
# exec_us avg=561.1 max=607 | tick_us(incl log/gc) avg=917.6 max=4552 | Ts_us=10000
k,y,u,exec_us,tot_us
276,0.000005,0.00045,559,609
277,0.000006,0.00044,554,604
278,0.000007,0.00044,559,609
279,0.000008,0.00043,572,622
280,0.000008,0.00042,554,3691
281,0.000009,0.00042,568,617
282,0.000009,0.00041,557,609
283,0.000010,0.00040,577,629
284,0.000010,0.00039,555,607
285,0.000010,0.00039,552,607
286,0.000011,0.00038,553,603
287,0.000011,0.00037,555,607
288,0.000011,0.00036,551,603
289,0.000011,0.00035,585,633
290,0.000011,0.00035,553,3690
291,0.000012,0.00034,556,611
292,0.000012,0.00033,555,606
293,0.000012,0.00032,571,625
294,0.000012,0.00031,546,599
295,0.000012,0.00030,559,612
296,0.000012,0.00029,553,602
297,0.000012,0.00029,556,607
298,0.000012,0.00028,558,608
299,0.000012,0.00027,573,622
300,0.000011,0.00026,554,3691
301,0.000011,0.00025,574,624
302,0.000011,0.00025,559,612
303,0.000011,0.00024,585,636
304,0.000011,0.00023,551,604
305,0.000011,0.00022,560,612
306,0.000011,0.00022,557,609
307,0.000010,0.00021,562,612
308,0.000010,0.00020,550,604
309,0.000010,0.00020,579,633
310,0.000010,0.00019,556,3688
311,0.000010,0.00018,574,626
312,0.000009,0.00018,563,617
313,0.000009,0.00017,573,624
314,0.000009,0.00016,554,606
315,0.000009,0.00016,558,610
316,0.000009,0.00015,565,616
317,0.000008,0.00014,556,608
318,0.000008,0.00014,552,604
319,0.000008,0.00013,571,621
320,0.000008,0.00013,554,3685
321,0.000008,0.00012,561,610
322,0.000007,0.00012,558,609
323,0.000007,0.00011,572,623
324,0.000007,0.00011,550,601
325,0.000007,0.00010,550,600
326,0.000007,0.00010,551,602
327,0.000006,0.00010,542,595
328,0.000006,0.00009,553,605
329,0.000006,0.00009,582,633
330,0.000006,0.00008,544,3674
331,0.000006,0.00008,571,620
332,0.000005,0.00008,559,611
333,0.000005,0.00007,577,628
334,0.000005,0.00007,561,614
335,0.000005,0.00007,554,606
336,0.000005,0.00006,553,605
337,0.000005,0.00006,548,599
338,0.000004,0.00006,554,605
339,0.000004,0.00005,578,629
340,0.000004,0.00005,542,3672
341,0.000004,0.00005,564,616
342,0.000004,0.00005,557,606
343,0.000004,0.00004,579,630
344,0.000004,0.00004,556,607
345,0.000003,0.00004,550,600
346,0.000003,0.00004,556,607
347,0.000003,0.00004,547,599
348,0.000003,0.00003,560,611
349,0.000003,0.00003,582,634
350,0.000003,0.00003,555,3685
351,0.000003,0.00003,557,610
352,0.000003,0.00003,553,604
353,0.000002,0.00002,583,634
354,0.000002,0.00002,557,607
355,0.000002,0.00002,550,600
356,0.000002,0.00002,558,607
357,0.000002,0.00002,546,598
358,0.000002,0.00002,555,607
359,0.000002,0.00002,579,632
360,0.000002,0.00002,554,3686
361,0.000002,0.00001,553,603
362,0.000002,0.00001,568,620
363,0.000002,0.00001,578,631
364,0.000001,0.00001,555,609
365,0.000001,0.00001,548,598
366,0.000001,0.00001,557,608
367,0.000001,0.00001,555,601
368,0.000001,0.00001,553,604
369,0.000001,0.00001,585,636
370,0.000001,0.00001,552,3680
371,0.000001,0.00001,562,614
372,0.000001,0.00001,556,609
373,0.000001,0.00000,575,627
374,0.000001,0.00000,555,607
375,0.000001,0.00000,553,606
376,0.000001,0.00000,558,608
377,0.000001,0.00000,547,599
378,0.000001,0.00000,554,603
379,0.000001,0.00000,583,639
380,0.000001,0.00000,548,3674
381,0.000001,0.00000,567,614
382,0.000001,0.00000,557,606
383,0.000000,0.00000,586,636
384,0.000000,0.00000,555,614
385,0.000000,0.00000,560,610
386,0.000000,0.00000,558,610
387,0.000000,-0.00000,551,602
388,0.000000,-0.00000,550,601
389,0.000000,-0.00000,579,632
390,0.000000,-0.00000,557,3682
391,0.000000,-0.00000,572,625
392,0.000000,-0.00000,564,615
393,0.000000,-0.00000,573,624
394,0.000000,-0.00000,557,608
395,0.000000,-0.00000,556,609
396,0.000000,-0.00000,554,602
397,0.000000,-0.00000,548,597
398,0.000000,-0.00000,554,604
399,0.000000,-0.00000,576,626
400,0.000000,-0.00000,548,3675
401,0.000000,-0.00000,574,627
