# mode=rbf T=30.0 Ts=0.01 dt=0.002 K=3000 plant_ticks=15018 wall_ms=30050 plant_late_max_us=3548
# freq_hz=200000000 ctrl_cpu=0 plant_cpu=1 micropython=1.24.0
# exec_us avg=2922.9 max=2993 | tick_us(incl log/gc) avg=3505.9 max=8401 | Ts_us=10000
k,y,u,exec_us,tot_us
266,-0.330526,-2.87669,2935,2993
267,-0.325317,-2.68273,2929,2985
268,-0.319983,-2.49093,2920,2978
269,-0.314525,-2.30117,2920,2977
270,-0.308945,-2.11339,2934,8382
271,-0.304395,-1.79646,2958,3015
272,-0.297430,-1.76692,2927,2987
273,-0.291498,-1.58759,2969,3031
274,-0.285452,-1.40222,2923,2979
275,-0.279296,-1.21912,2917,2972
276,-0.273030,-1.03862,2919,2976
277,-0.266659,-0.86063,2920,2978
278,-0.260183,-0.68506,2910,2971
279,-0.253605,-0.51192,2916,2972
280,-0.246928,-0.34120,2916,8370
281,-0.241516,-0.03473,2945,3002
282,-0.233283,-0.03215,2921,2984
283,-0.226319,0.12738,2973,3027
284,-0.219263,0.29225,2921,2984
285,-0.212118,0.45369,2929,2986
286,-0.204887,0.61110,2918,2978
287,-0.197570,0.76435,2930,2989
288,-0.190171,0.91328,2915,2974
289,-0.182692,1.05772,2920,2983
290,-0.175134,1.19748,2918,8365
291,-0.169033,1.47377,2951,3013
292,-0.159793,1.43801,2934,2993
293,-0.152014,1.55929,2960,3022
294,-0.144166,1.68338,2928,2988
295,-0.136251,1.80208,2934,2993
296,-0.128271,1.91506,2927,2981
297,-0.120231,2.02250,2912,2967
298,-0.112132,2.12467,2918,2981
299,-0.103977,2.22191,2924,2982
300,-0.095771,2.31465,2916,8364
301,-0.089170,2.53880,2934,2990
302,-0.079215,2.46894,2922,2983
303,-0.070872,2.54857,2976,3035
304,-0.062491,2.63272,2920,2971
305,-0.054076,2.71650,2920,2976
306,-0.045630,2.80110,2907,2966
307,-0.037160,2.88819,2912,2973
308,-0.028669,2.97960,2915,2978
309,-0.020162,3.07730,2909,2965
310,-0.011644,3.18324,2912,8362
311,-0.004825,3.40930,2923,2978
312,0.005405,3.41144,2924,2983
313,0.013927,3.54811,2961,3021
314,0.022440,3.70201,2917,2977
315,0.030940,3.86870,2923,2982
316,0.039422,4.04681,2915,2970
317,0.047882,4.23437,2923,2986
318,0.056315,4.42899,2919,2972
319,0.064718,4.62802,2908,2972
320,0.073086,4.82883,2919,8367
321,0.079755,5.10977,2931,2989
322,0.089709,5.21225,2916,2972
323,0.097957,5.40309,2971,3029
324,0.106160,5.59251,2920,2979
325,0.114316,5.77576,2910,2970
326,0.122422,5.95211,2912,2970
327,0.130476,6.12133,2913,2979
328,0.138477,6.28349,2910,2969
329,0.146421,6.43881,2920,2979
330,0.154309,6.58768,2925,8370
331,0.160576,6.79343,2933,2988
332,0.169902,6.85650,2938,3000
333,0.177604,6.98753,2988,3047
334,0.185240,7.11721,2916,2975
335,0.192807,7.24281,2927,2985
336,0.200303,7.36461,2928,2987
337,0.207724,7.48299,2908,2967
338,0.215068,7.59838,2909,2966
339,0.222331,7.71121,2921,2982
340,0.229510,7.82196,2921,8367
341,0.235190,7.96373,2953,3011
342,0.243600,8.03308,2936,2996
343,0.250504,8.14087,2971,3035
344,0.257308,8.25065,2930,2987
345,0.264008,8.36214,2911,2968
346,0.270600,8.47625,2918,2975
347,0.277080,8.59387,2909,2970
348,0.283442,8.71569,2926,2985
349,0.289684,8.84210,2931,2989
350,0.295800,8.97313,2907,8350
351,0.300599,9.10636,2949,3010
352,0.307639,9.24370,2928,2986
353,0.313354,9.38469,2974,3030
354,0.318929,9.52630,2923,2979
355,0.324360,9.66675,2918,2976
356,0.329643,9.80431,2922,2984
357,0.334777,9.93729,2926,2981
